GENE	CHR	START	END	GENEID
ZNF785	16	30585061	30597092	ENSG00000197162
SULT1A2	16	28603264	28608430	ENSG00000197165
SERPINA1	14	94843084	94857030	ENSG00000197249
TPSB2	16	1277272	1280214	ENSG00000197253
CCL4L2	17	34639793	34641846	ENSG00000197262
IL27	16	28510683	28523372	ENSG00000197272
BLM	15	91260558	91358859	ENSG00000197299
	12	66245120	66275947	ENSG00000197301
ZNF720	16	31724550	31806190	ENSG00000197302
LRP10	14	23340822	23350789	ENSG00000197324
BNIP3P1	14	28733596	28735180	ENSG00000197358
FBXL22	15	63889552	63894627	ENSG00000197361
SHPK	17	3511556	3539616	ENSG00000197417
SPN	16	29674300	29682187	ENSG00000197471
	16	31973384	31985682	ENSG00000197476
MYO5A	15	52599480	52821247	ENSG00000197535
SIPA1L1	14	71787166	72207946	ENSG00000197555
RAB40C	16	639357	679272	ENSG00000197562
ZNF624	17	16524051	16557170	ENSG00000197566
CCDC154	16	1484384	1494557	ENSG00000197599
MYH6	14	23851199	23877486	ENSG00000197616
DNAH10	12	124247042	124420753	ENSG00000197653
TBC1D3	17	36337711	36358166	ENSG00000197681
NMB	15	85198360	85201794	ENSG00000197696
HSPB9	17	40274756	40275371	ENSG00000197723
EME2	16	1823208	1831709	ENSG00000197774
KLHDC1	14	50159823	50219870	ENSG00000197776
	17	17761583	17762295	ENSG00000197815
MYO1C	17	1367392	1396106	ENSG00000197879
SPG7	16	89557325	89624176	ENSG00000197912
ERO1L	14	53106634	53162618	ENSG00000197930
PLCG2	16	81772702	81991899	ENSG00000197943
GOLGA6L9	15	82722223	82731338	ENSG00000197978
MRPL42	12	93861264	93897545	ENSG00000198015
ZNF84	12	133613878	133639885	ENSG00000198040
	16	30234258	30265831	ENSG00000198064
SNX29P2	16	29262829	29519817	ENSG00000198106
TMEM229B	14	67913801	68000456	ENSG00000198133
ZNF770	15	35270542	35280488	ENSG00000198146
	17	8261731	8263538	ENSG00000198150
NPIPB6	16	28353876	28374829	ENSG00000198156
TFDP1	13	114239013	114295785	ENSG00000198176
RPS6KL1	14	75370657	75390099	ENSG00000198208
RPL23A	17	27046411	27051377	ENSG00000198242
STYX	14	53196898	53241716	ENSG00000198252
TMEM116	12	112369086	112450970	ENSG00000198270
FAM109A	12	111798455	111806925	ENSG00000198324
MYL4	17	45277812	45301045	ENSG00000198336
WWP2	16	69796209	69975644	ENSG00000198373
ZNF26	12	133562951	133589154	ENSG00000198393
MT1F	16	56691606	56694610	ENSG00000198417
TXNRD1	12	104609557	104744061	ENSG00000198431
NBR2	17	41277627	41305688	ENSG00000198496
ATL1	14	50999227	51099786	ENSG00000198513
KCNRG	13	50589390	50595058	ENSG00000198553
WDHD1	14	55405668	55493823	ENSG00000198554
MMP17	12	132312938	132336328	ENSG00000198598
BAZ1A	14	35221937	35344853	ENSG00000198604
TAT	16	71599563	71611033	ENSG00000198650
CALM1	14	90862846	90874605	ENSG00000198668
FAN1	15	31196055	31235311	ENSG00000198690
CEP290	12	88442793	88535993	ENSG00000198707
FAM179B	14	45431411	45543634	ENSG00000198718
ANKRD13B	17	27916787	27941779	ENSG00000198720
SMOC1	14	70320848	70499083	ENSG00000198732
MSRB1	16	1988211	1993327	ENSG00000198736
ZNF652	17	47366568	47439835	ENSG00000198740
CDC42BPB	14	103398716	103523799	ENSG00000198752
ZNF830	17	33288549	33290205	ENSG00000198783
SCAMP5	15	75249560	75313837	ENSG00000198794
PNP	14	20937113	20945253	ENSG00000198805
CHAMP1	13	115079988	115092796	ENSG00000198824
ARHGAP11A	15	32907345	32932150	ENSG00000198826
RYR3	15	33603163	34158303	ENSG00000198838
ARHGEF15	17	8213559	8225829	ENSG00000198844
CES1	16	55836763	55867249	ENSG00000198848
FICD	12	108908962	108919614	ENSG00000198855
RUNDC1	17	41132582	41145707	ENSG00000198863
CIPC	14	77564440	77583630	ENSG00000198894
PRC1	15	91509270	91538859	ENSG00000198901
KIAA0753	17	6481468	6544247	ENSG00000198920
APRT	16	88875747	88878352	ENSG00000198931
TBKBP1	17	45771447	45789416	ENSG00000198933
MIR342	14	100575992	100576090	ENSG00000199082
SNORA21	17	37009116	37009247	ENSG00000199293
RNA5SP383	14	24627812	24627931	ENSG00000199804
SNORD68	16	89627842	89627925	ENSG00000200084
	17	41149933	41150024	ENSG00000200127
	16	69225026	69225126	ENSG00000200164
RNU1-22P	16	3136144	3136301	ENSG00000200204
RNA5-8SP2	16	33965426	33965577	ENSG00000200434
	14	64118015	64118217	ENSG00000200693
	15	38834444	38834544	ENSG00000201509
RNU4-2	12	120729566	120729706	ENSG00000202538
	15	75970672	75973093	ENSG00000203392
INF2	14	105155943	105185942	ENSG00000203485
	13	28008286	28008752	ENSG00000203602
LRCOL1	12	133179736	133187037	ENSG00000204583
	17	47923272	47926199	ENSG00000204584
CRHR1-IT1	17	43697694	43725582	ENSG00000204650
CNN2P12	13	19300846	19301554	ENSG00000204718
TTC25	17	40086888	40117648	ENSG00000204815
ATXN2	12	111890018	112037480	ENSG00000204842
TCTN1	12	111051832	111087235	ENSG00000204852
FAM216A	12	110906169	110928190	ENSG00000204856
MZT1	13	73282495	73301825	ENSG00000204899
C12orf73	12	104343980	104359486	ENSG00000204954
TRIM13	13	50570024	50594617	ENSG00000204977
SPIRE2	16	89884587	89937727	ENSG00000204991
	16	89006197	89017932	ENSG00000205018
CCL4L1	17	34538310	34540280	ENSG00000205020
CCL3L1	17	34623842	34625731	ENSG00000205021
PABPN1L	16	88928034	88933068	ENSG00000205022
	16	88121647	88134591	ENSG00000205037
SLFN12L	17	33791268	33864880	ENSG00000205045
	16	87731749	87739290	ENSG00000205047
	12	92860227	92885867	ENSG00000205056
SYCE1L	16	77233294	77247112	ENSG00000205078
TMEM231	16	75572015	75590184	ENSG00000205084
PSMB10	16	67968405	67970990	ENSG00000205220
E2F4	16	67226072	67232821	ENSG00000205250
NT5M	17	17206649	17250977	ENSG00000205309
GPR56	16	57644564	57698944	ENSG00000205336
MT1H	16	56703726	56705041	ENSG00000205358
MT1DP	16	56677617	56678698	ENSG00000205361
MT1A	16	56672578	56673999	ENSG00000205362
MT1M	16	56666145	56667898	ENSG00000205364
CNEP1R1	16	50058321	50070999	ENSG00000205423
TP53TG3D	16	32264040	32267240	ENSG00000205456
CCDC85C	14	99977603	100070363	ENSG00000205476
C2CD4B	15	62455734	62457482	ENSG00000205502
	16	29538889	29606395	ENSG00000205534
TMEM256	17	7306294	7307456	ENSG00000205544
DYNLL1P1	14	81712638	81712907	ENSG00000205579
EIF3CL	16	28390900	28415200	ENSG00000205609
LCMT1	16	25123050	25189552	ENSG00000205629
LIN52	14	74551499	74667936	ENSG00000205659
DPF3	14	73086004	73360809	ENSG00000205683
C17orf107	17	4802713	4806227	ENSG00000205710
ITPRIPL2	16	19125254	19132946	ENSG00000205730
	16	18428257	18488396	ENSG00000205746
CATSPER2P1	15	44019116	44039292	ENSG00000205771
	17	2310279	2318731	ENSG00000205821
C16orf96	16	4606491	4650715	ENSG00000205832
RPS3AP47	15	43407897	43408691	ENSG00000205871
	16	3082482	3089134	ENSG00000205890
SRRM2-AS1	16	2787077	2802601	ENSG00000205913
	16	2666122	2693297	ENSG00000205918
RNPS1	16	2303117	2318413	ENSG00000205937
NYNRIN	14	24867992	24888494	ENSG00000205978
HN1L	16	1728257	1752281	ENSG00000206053
GOLGA8O	15	32737307	32747835	ENSG00000206127
HERC2P9	15	28834638	28930410	ENSG00000206149
HBA1	16	226679	227521	ENSG00000206172
HBM	16	203891	216767	ENSG00000206177
ATP10A	15	25922420	26110317	ENSG00000206190
	15	44989531	44989628	ENSG00000206957
RNU6-196P	16	21653615	21653721	ENSG00000207042
SNORA27	13	27829538	27829663	ENSG00000207051
RNU6-1005P	16	21653375	21653481	ENSG00000207248
SNORD7	17	33900676	33900772	ENSG00000207297
SNORA64	16	2012974	2013107	ENSG00000207405
	16	15009314	15009413	ENSG00000207425
MIR621	13	41384902	41384997	ENSG00000207652
SNORA48	17	7478031	7478165	ENSG00000209582
TRAV2	14	22180544	22181066	ENSG00000211776
TRAV3	14	22191960	22192568	ENSG00000211777
TRAV4	14	22204434	22205264	ENSG00000211778
TRAV5	14	22217462	22217989	ENSG00000211779
TRAV6	14	22236729	22237320	ENSG00000211780
TRAV8-1	14	22265459	22266058	ENSG00000211782
TRAV10	14	22293636	22294239	ENSG00000211784
TRAV12-1	14	22309422	22309956	ENSG00000211785
TRAV8-2	14	22314719	22315403	ENSG00000211786
TRAV8-3	14	22320735	22321183	ENSG00000211787
TRAV13-1	14	22337020	22337546	ENSG00000211788
TRAV12-2	14	22356037	22356682	ENSG00000211789
TRAV8-4	14	22362613	22363210	ENSG00000211790
TRAV13-2	14	22386363	22386931	ENSG00000211791
TRAV14DV4	14	22392239	22392827	ENSG00000211792
TRAV9-2	14	22409313	22409848	ENSG00000211793
TRAV12-3	14	22433680	22434290	ENSG00000211794
TRAV8-6	14	22446699	22447360	ENSG00000211795
TRAV16	14	22458735	22459177	ENSG00000211796
TRAV17	14	22465778	22466407	ENSG00000211797
TRAV18	14	22471345	22471912	ENSG00000211798
TRAV19	14	22475751	22476420	ENSG00000211799
TRAV20	14	22508840	22509399	ENSG00000211800
TRAV21	14	22520773	22521315	ENSG00000211801
TRAV22	14	22538820	22539471	ENSG00000211802
TRAV23DV6	14	22554684	22555238	ENSG00000211803
TRDV1	14	22564309	22564896	ENSG00000211804
TRAV24	14	22573620	22574123	ENSG00000211805
TRAV25	14	22580300	22580984	ENSG00000211806
TRAV26-1	14	22591276	22592243	ENSG00000211807
TRAV27	14	22615949	22616587	ENSG00000211809
TRAV29DV5	14	22631134	22631766	ENSG00000211810
TRAV26-2	14	22670477	22671262	ENSG00000211812
TRAV34	14	22675418	22676025	ENSG00000211813
TRAV35	14	22689792	22690371	ENSG00000211814
TRAV36DV7	14	22694641	22695149	ENSG00000211815
TRAV38-1	14	22739851	22740446	ENSG00000211816
TRAV38-2DV8	14	22748988	22749631	ENSG00000211817
TRAV39	14	22771939	22772438	ENSG00000211818
TRAV40	14	22782922	22783351	ENSG00000211819
TRAV41	14	22788620	22789123	ENSG00000211820
TRDV2	14	22891362	22892033	ENSG00000211821
TRDJ1	14	22919081	22919131	ENSG00000211825
TRDJ3	14	22928090	22928148	ENSG00000211828
TRDC	14	22931924	22934779	ENSG00000211829
TRAJ52	14	22955216	22955284	ENSG00000211838
TRAJ49	14	22958476	22958531	ENSG00000211840
TRAJ44	14	22963806	22963868	ENSG00000211845
TRAJ39	14	22970585	22970647	ENSG00000211850
TRAJ37	14	22972735	22972797	ENSG00000211852
TRAJ32	14	22978325	22978390	ENSG00000211857
TRAJ31	14	22979951	22980007	ENSG00000211858
TRAJ18	14	22994620	22994685	ENSG00000211871
TRAJ17	14	22995812	22995874	ENSG00000211872
TRAJ16	14	22997487	22997546	ENSG00000211873
TRAJ6	14	23008016	23008077	ENSG00000211883
TRAJ5	14	23009190	23009249	ENSG00000211884
TRAJ4	14	23011142	23011204	ENSG00000211885
TRAJ3	14	23012122	23012183	ENSG00000211886
TRAJ2	14	23013015	23013080	ENSG00000211887
TRAJ1	14	23013981	23014042	ENSG00000211888
IGHA2	14	106053226	106054732	ENSG00000211890
IGHE	14	106064224	106068065	ENSG00000211891
IGHG4	14	106090687	106092403	ENSG00000211892
IGHG2	14	106109389	106111127	ENSG00000211893
IGHA1	14	106173457	106175002	ENSG00000211895
IGHG1	14	106202680	106209408	ENSG00000211896
IGHG3	14	106235439	106237742	ENSG00000211897
IGHD	14	106303099	106312010	ENSG00000211898
IGHM	14	106320349	106322323	ENSG00000211899
IGHJ6	14	106329408	106329468	ENSG00000211900
IGHJ2	14	106331409	106331460	ENSG00000211904
IGHJ1	14	106331617	106331668	ENSG00000211905
IGHD3-9	14	106370539	106370569	ENSG00000211924
IGHD3-3	14	106380218	106380248	ENSG00000211930
IGHV6-1	14	106405611	106406108	ENSG00000211933
IGHV1-2	14	106452671	106453170	ENSG00000211934
IGHV1-3	14	106471246	106471723	ENSG00000211935
IGHV4-4	14	106478110	106478603	ENSG00000211936
IGHV2-5	14	106494135	106494597	ENSG00000211937
IGHV3-7	14	106518400	106518932	ENSG00000211938
IGHV1-8	14	106539079	106539577	ENSG00000211939
IGHV3-9	14	106552285	106552809	ENSG00000211940
IGHV3-11	14	106573233	106573800	ENSG00000211941
IGHV3-13	14	106586137	106586667	ENSG00000211942
IGHV3-15	14	106610313	106610852	ENSG00000211943
IGHV1-18	14	106641563	106642056	ENSG00000211945
IGHV3-20	14	106667581	106668095	ENSG00000211946
IGHV3-21	14	106691673	106692203	ENSG00000211947
IGHV3-23	14	106725201	106725733	ENSG00000211949
IGHV1-24	14	106733144	106733639	ENSG00000211950
IGHV2-26	14	106757650	106758116	ENSG00000211951
IGHV4-28	14	106780513	106781017	ENSG00000211952
IGHV3-30	14	106791005	106791536	ENSG00000211953
IGHV3-33	14	106815722	106816253	ENSG00000211955
IGHV4-34	14	106829594	106830076	ENSG00000211956
IGHV3-35	14	106845323	106845789	ENSG00000211957
IGHV4-39	14	106877619	106878126	ENSG00000211959
IGHV1-45	14	106962931	106963424	ENSG00000211961
IGHV1-46	14	106967049	106967788	ENSG00000211962
IGHV3-48	14	106993814	106994346	ENSG00000211964
IGHV3-49	14	107012938	107013477	ENSG00000211965
IGHV5-51	14	107034729	107035221	ENSG00000211966
IGHV3-53	14	107048672	107049341	ENSG00000211967
IGHV1-58	14	107078373	107078869	ENSG00000211968
IGHV4-61	14	107095126	107095662	ENSG00000211970
IGHV3-66	14	107131033	107131560	ENSG00000211972
IGHV1-69	14	107169931	107170428	ENSG00000211973
IGHV2-70	14	107178820	107179338	ENSG00000211974
IGHV3-73	14	107210932	107211471	ENSG00000211976
IGHV5-78	14	107259338	107259632	ENSG00000211978
	13	32994527	32994653	ENSG00000212293
	14	77932627	77932779	ENSG00000212371
SNORA53	12	98993413	98993661	ENSG00000212443
KRTAP29-1	17	39458078	39459103	ENSG00000212658
	15	71633466	71634086	ENSG00000212664
	12	122233173	122241812	ENSG00000212694
C17orf51	17	21428051	21477722	ENSG00000212719
FAM106A	17	18427880	18430160	ENSG00000213077
	12	119632655	119633199	ENSG00000213144
CRIP1	14	105952654	105955284	ENSG00000213145
TCL1B	14	96152754	96158980	ENSG00000213231
	14	91232875	91233333	ENSG00000213315
RPS7P11	17	44798948	44799533	ENSG00000213326
LINC00671	17	41026687	41050751	ENSG00000213373
COG8	16	69354043	69373570	ENSG00000213380
LCAT	16	67973653	67978034	ENSG00000213398
RPL18AP3	12	104659056	104659669	ENSG00000213442
SYNJ2BP	14	70838148	70883778	ENSG00000213463
TTLL13	15	90792762	90808199	ENSG00000213471
CPLX3	15	75118888	75124141	ENSG00000213578
	14	59261372	59261747	ENSG00000213598
HEXA	15	72635775	72668817	ENSG00000213614
RPSAP54	13	21535449	21536334	ENSG00000213621
SULT1A4	16	29467127	29476300	ENSG00000213648
LAT	16	28996147	29002104	ENSG00000213658
OLA1P2	17	20678955	20680218	ENSG00000213671
RPS29	14	50043390	50065408	ENSG00000213741
EMP2	16	10622279	10674555	ENSG00000213853
KCTD11	17	7255208	7258258	ENSG00000213859
	15	48022341	48023132	ENSG00000213862
RPL7AP64	17	7044249	7044911	ENSG00000213876
LTB4R	14	24780656	24787242	ENSG00000213903
LTB4R2	14	24774940	24781259	ENSG00000213906
DNASE1	16	3661729	3730144	ENSG00000213918
MDP1	14	24683143	24685276	ENSG00000213920
IRF9	14	24630262	24635774	ENSG00000213928
CLDN9	16	3062457	3064506	ENSG00000213937
	17	4608111	4608512	ENSG00000213939
TAX1BP3	17	3566196	3571976	ENSG00000213977
AP1G2	14	24028774	24037279	ENSG00000213983
CARKD	13	111267881	111292340	ENSG00000213995
GANC	15	42565431	42645864	ENSG00000214013
ZNF891	12	133694740	133707059	ENSG00000214029
PTMAP5	13	82264046	82265207	ENSG00000214182
	12	104237527	104323989	ENSG00000214198
RPS4XP1	12	100402830	100403616	ENSG00000214203
C17orf67	17	54869274	54916134	ENSG00000214226
RPSAP53	13	67840977	67841838	ENSG00000214263
SNURF	15	25200181	25245423	ENSG00000214265
ANG	14	21152336	21167130	ENSG00000214274
	16	74366300	74402138	ENSG00000214331
VAC14-AS1	16	70789001	70807154	ENSG00000214353
RPL18P10	13	50673467	50674004	ENSG00000214359
KANSL1-AS1	17	44270942	44274089	ENSG00000214401
LRRC37A4P	17	43578685	43627701	ENSG00000214425
	15	91565849	91579841	ENSG00000214432
RCN1P2	13	45964486	45965402	ENSG00000214455
MEG3	14	101245747	101327368	ENSG00000214548
	12	124997768	124999359	ENSG00000214650
	17	30468245	30470154	ENSG00000214708
	17	28903482	28999807	ENSG00000214719
CDIPT-AS1	16	29874914	29879371	ENSG00000214725
	14	64796149	64805317	ENSG00000214770
UPF3AP2	17	20278682	20280153	ENSG00000214832
C14orf182	14	50448430	50474238	ENSG00000214900
ZSWIM7	17	15879874	15903031	ENSG00000214941
	17	7982800	7984883	ENSG00000214999
RPL13P12	17	17286691	17287326	ENSG00000215030
NEURL4	17	7218947	7232712	ENSG00000215041
	17	6779954	6915668	ENSG00000215067
PRSS41	16	2848486	2855148	ENSG00000215148
	16	2653351	2680495	ENSG00000215154
GOLGA8B	15	34817408	34880704	ENSG00000215252
DHRS4-AS1	14	24407940	24458048	ENSG00000215256
HOMEZ	14	23741666	23768656	ENSG00000215271
C14orf164	14	23654525	23742686	ENSG00000215277
	15	30762982	30799826	ENSG00000215302
	14	23286463	23291750	ENSG00000215306
MIR17HG	13	92000074	92006833	ENSG00000215417
SIAH3	13	46354405	46425871	ENSG00000215475
LINC00598	13	41025131	41055143	ENSG00000215483
GRK6P1	13	21893231	21895005	ENSG00000215571
	12	104424557	104425321	ENSG00000216285
CKLF	16	66586466	66600154	ENSG00000217555
	13	52741844	52865692	ENSG00000217576
PAM16	16	4381550	4405608	ENSG00000217930
ADAMTS7P4	15	85798600	85873565	ENSG00000218052
H2AFZP3	13	99867626	99868012	ENSG00000218502
RNASEK	17	6915736	6917851	ENSG00000219200
RPL31P52	12	120888240	120888606	ENSG00000219355
	17	18314473	18317694	ENSG00000220161
VAMP2	17	8062467	8066864	ENSG00000220205
	12	98999652	98999738	ENSG00000221625
TRIM16	17	15531274	15587625	ENSG00000221926
TIAF1	17	27400537	27418537	ENSG00000221995
URAHP	16	90106169	90114181	ENSG00000222019
PSMB11	14	23511376	23513269	ENSG00000222028
RN7SKP127	16	29742372	29742725	ENSG00000222375
RNA5SP39	13	108953560	108953679	ENSG00000223177
	12	64969445	64969521	ENSG00000223294
RNY3P8	13	95963084	95963209	ENSG00000223298
RNU6-516P	15	40821769	40821872	ENSG00000223313
RNU2-6P	13	46948536	46948725	ENSG00000223336
EXOSC6	16	70284134	70285833	ENSG00000223496
	15	32812049	32829127	ENSG00000223509
CDRT15	17	14138990	14140179	ENSG00000223510
IGHV3-64	14	107113741	107114274	ENSG00000223648
	17	15410180	15410668	ENSG00000223878
AFG3L1P	16	90038994	90068569	ENSG00000223959
SNHG14	15	25223730	25664609	ENSG00000224078
	17	33332107	33336762	ENSG00000224113
UBE2SP2	17	18580574	18581070	ENSG00000224126
	17	34400226	34417480	ENSG00000224298
IGHV4-59	14	107081806	107083830	ENSG00000224373
STK24-AS1	13	99229498	99231084	ENSG00000224418
	13	21877654	21922860	ENSG00000224429
ATXN1L	16	71879894	71919171	ENSG00000224470
	17	43227767	43238877	ENSG00000224505
HNRNPA1P48	16	51679667	51681043	ENSG00000224578
	16	61089303	61089868	ENSG00000224631
IGHV3-74	14	107218676	107219365	ENSG00000224650
YBX1P1	14	66479548	66480507	ENSG00000224861
	16	88797588	88807826	ENSG00000224888
RPS4XP16	13	52028300	52035451	ENSG00000224892
PARP4P2	13	19923277	19982102	ENSG00000224976
	14	104177607	104179149	ENSG00000224997
PSME2P2	13	49345264	49345965	ENSG00000225131
GOLGA2P7	15	84867600	84898888	ENSG00000225151
LINC00618	14	97409916	97411731	ENSG00000225163
PLEKHM1	17	43513266	43568115	ENSG00000225190
RPS12P26	15	90749804	90750199	ENSG00000225193
	12	65022124	65023756	ENSG00000225195
	14	106444607	106445233	ENSG00000225200
	14	19650018	19718563	ENSG00000225210
	16	218678	219333	ENSG00000225323
RBMS1P1	12	66627859	66629014	ENSG00000225422
ARHGAP23	17	36584662	36668628	ENSG00000225485
ZNF469	16	88493879	88507165	ENSG00000225614
IGHV3-72	14	107198932	107199471	ENSG00000225698
LINC00431	13	111635654	111642911	ENSG00000225760
	14	24505662	24520580	ENSG00000225766
	15	55609382	55611359	ENSG00000225973
TLK2P1	17	32363700	32366891	ENSG00000226049
PHF2P2	13	19520895	19636858	ENSG00000226057
TEX22	14	105864916	105916443	ENSG00000226174
	16	87727144	87729753	ENSG00000226180
	16	70010291	70030091	ENSG00000226232
	13	20248764	20250024	ENSG00000226352
ADAM1B	12	112364822	112366821	ENSG00000226469
UPF3AP1	17	16648945	16650075	ENSG00000226478
RPS7P10	13	22202552	22203154	ENSG00000226525
LINC00974	17	39705858	39710747	ENSG00000226629
IGBP1P1	14	35408530	35409693	ENSG00000226677
KIAA0125	14	106383838	106391825	ENSG00000226777
IL9RP3	16	79336	88321	ENSG00000226942
ABHD17AP6	17	20717933	20747570	ENSG00000226981
C14orf132	14	96505661	96560417	ENSG00000227051
	17	18476045	18476415	ENSG00000227077
RBM26-AS1	13	79980444	79998463	ENSG00000227354
	17	4922509	4923388	ENSG00000227495
SPAG5-AS1	17	26925808	26944393	ENSG00000227543
LINC00355	13	64560504	64650144	ENSG00000227674
	17	15943505	15943994	ENSG00000227782
SLC9A7P1	12	98847613	98850923	ENSG00000227825
	16	16450081	16471364	ENSG00000227827
SUCLA2-AS1	13	48575525	48576688	ENSG00000227848
RPL7AP65	17	18215218	18215965	ENSG00000228000
CASP16	16	3194220	3199964	ENSG00000228146
	17	18996287	19000150	ENSG00000228157
	16	698473	699200	ENSG00000228201
	13	76205407	76206271	ENSG00000228444
CES1P1	16	55794460	55828070	ENSG00000228695
ARL17B	17	44352150	44439130	ENSG00000228696
	16	175736	177218	ENSG00000228779
MRPL45P2	17	45527934	45569858	ENSG00000228782
FAM207BP	13	19271143	19271647	ENSG00000228797
HMGB3P4	13	100024427	100024940	ENSG00000228808
UBAC2-AS1	13	99848631	99852964	ENSG00000228889
TRDD3	14	22918105	22918117	ENSG00000228985
	15	90818266	90820841	ENSG00000228998
ANKRD10-IT1	13	111547406	111551519	ENSG00000229152
TRAC	14	23016447	23021097	ENSG00000229164
ADAM1A	12	112337067	112340042	ENSG00000229186
RLIMP1	13	41192875	41195485	ENSG00000229456
RGS17P1	13	41566915	41567467	ENSG00000229473
PATL2	15	44957930	45003514	ENSG00000229474
LINC00341	14	95873606	95876427	ENSG00000229645
EEF1DP3	13	32420978	32527609	ENSG00000229715
ATP8A2P2	13	33051411	33052978	ENSG00000229800
ZNF688	16	30580667	30584055	ENSG00000229809
TOB1-AS1	17	48944040	48987098	ENSG00000229980
CISD3	17	36886488	36891297	ENSG00000230055
	17	29283298	29283979	ENSG00000230113
HOXB-AS1	17	46620913	46628610	ENSG00000230148
HMGN2P3	16	26043860	26044132	ENSG00000230330
GOLGA6L5P	15	85051116	85060045	ENSG00000230373
	17	47009153	47014462	ENSG00000230532
	13	32872291	32872849	ENSG00000230633
USP12-AS2	13	27746396	27757135	ENSG00000230641
	17	16879313	16884667	ENSG00000230709
	16	22393757	22418749	ENSG00000230872
RPS18P12	17	14608393	14608851	ENSG00000230897
HSBP1	16	83841448	83853342	ENSG00000230989
CLIC1P1	12	121352203	121352926	ENSG00000231313
WASIR2	16	72910	75123	ENSG00000231439
LINC00441	13	48870649	48877797	ENSG00000231473
IGHV4-31	14	106805209	106805716	ENSG00000231475
	17	14113805	14121239	ENSG00000231595
DLEU2	13	50601269	50699856	ENSG00000231607
	17	20415873	20420792	ENSG00000231645
OGFOD1P1	13	49784558	49786430	ENSG00000231665
DBIL5P	17	655900	658576	ENSG00000231784
	13	52378433	52387356	ENSG00000231856
TMEM253	14	21567096	21571883	ENSG00000232070
LINC00384	13	30726023	30733758	ENSG00000232117
FTH1P7	13	23270162	23270713	ENSG00000232187
IGHV3-43	14	106926188	106926724	ENSG00000232216
FAM215B	17	44636196	44640161	ENSG00000232300
	17	17913957	17915136	ENSG00000232344
	15	101389766	101402376	ENSG00000232386
RPL3P4	14	99439216	99439638	ENSG00000232573
EEF1A1P3	13	28788650	28790034	ENSG00000232587
GOLGA8N	15	32885657	32896179	ENSG00000232653
ATP11A-AS1	13	113399763	113409007	ENSG00000232684
	16	31072813	31073451	ENSG00000232748
	14	62037258	62125414	ENSG00000232774
LYRM9	17	26205340	26221778	ENSG00000232859
RPS11P5	12	133402287	133402772	ENSG00000232888
	16	18451943	18473188	ENSG00000233024
	17	20771746	20905589	ENSG00000233098
	17	43315395	43319101	ENSG00000233175
	17	7485282	7487390	ENSG00000233223
NPIPB7	16	28467693	28481868	ENSG00000233232
USP32P2	17	18414576	18429244	ENSG00000233327
ST6GALNAC4P1	13	20392261	20392759	ENSG00000233469
	17	43322553	43326203	ENSG00000233483
KRT8P39	12	69099414	69100846	ENSG00000233560
LINC00462	13	49151110	49152224	ENSG00000233610
DDX11L10	16	61553	64093	ENSG00000233614
RNASEH2B-AS1	13	51450822	51484848	ENSG00000233672
GAS6-AS1	13	114518603	114542321	ENSG00000233695
UBE2SP1	17	15607546	15608214	ENSG00000233966
	12	69020650	69020967	ENSG00000234040
	17	5014763	5017674	ENSG00000234327
	16	52689216	52689962	ENSG00000234337
RNF219-AS1	13	78493824	79191463	ENSG00000234377
	17	39077682	39132178	ENSG00000234477
	17	45974696	46018776	ENSG00000234494
MAPKAPK5-AS1	12	112277571	112280706	ENSG00000234608
	14	99439651	99439808	ENSG00000234648
HMGN2P5	15	30022917	30023189	ENSG00000234664
	16	12021230	12070500	ENSG00000234719
WASH4P	16	64043	69452	ENSG00000234769
RPS3AP6	15	60060543	60061347	ENSG00000234797
TEX21P	14	64812889	64841384	ENSG00000234911
	12	69036299	69036773	ENSG00000234925
TBC1D3C	17	34580902	34757050	ENSG00000234972
GAPDHP52	13	21932512	21933453	ENSG00000235076
C12orf75	12	105629068	105789875	ENSG00000235162
PPP1R3E	14	23764852	23772057	ENSG00000235194
MCF2L-AS1	13	113621798	113623138	ENSG00000235280
	12	123736577	123746030	ENSG00000235423
	17	21117644	21133348	ENSG00000235530
LINC00402	13	74805594	74834113	ENSG00000235532
	16	30546073	30548465	ENSG00000235560
DICER1-AS1	14	95623982	95646263	ENSG00000235706
	14	99729285	99731072	ENSG00000235785
	12	68052771	68064699	ENSG00000235872
	17	34930301	34931164	ENSG00000236002
COX10-AS1	17	13659795	13972812	ENSG00000236088
	17	40422535	40424701	ENSG00000236194
	17	43530210	43541431	ENSG00000236234
MYO16-AS1	13	109816250	109853831	ENSG00000236242
SLFN14	17	33875144	33885117	ENSG00000236320
TRHDE-AS1	12	72647288	72668687	ENSG00000236333
SUCLG2P2	12	94942017	94943312	ENSG00000236349
LINC00854	17	41368960	41383338	ENSG00000236383
LINC00427	13	30890497	30894040	ENSG00000236463
H3F3BP1	13	72249199	72249601	ENSG00000236534
HNRNPA3P5	13	66362064	66362896	ENSG00000236565
SNRPGP14	13	50063106	50063500	ENSG00000236577
PITPNA-AS1	17	1420225	1421390	ENSG00000236618
INTS6-AS1	13	52026503	52126500	ENSG00000236778
	16	432097	442960	ENSG00000236829
HNRNPA1P70	12	68429547	68430633	ENSG00000236946
ZDHHC20-IT1	13	21951116	21952013	ENSG00000236953
PRMT5-AS1	14	23388665	23396105	ENSG00000237054
COX5BP6	13	101276129	101276683	ENSG00000237082
IGHJ3P	14	106329626	106329675	ENSG00000237111
